Title,Year,Plot
The Fog,1980,An unearthly fog rolls into a small coastal town exactly 100 years after a ship mysteriously sank in its waters.
Stir Crazy,1980,"Set up and wrongfully accused, two best friends are sent to prison for a crime they didn't commit. However, no prison cell can keep them locked in a cage."
Cruising,1980,A police officer goes undercover in the underground S&amp;M gay subculture of New York City to catch a serial killer who is preying on gay men.
Heaven's Gate,1980,"During the Johnson County War in 1890 Wyoming, a sheriff born into wealth does his best to protect immigrant farmers from rich cattle interests."
The Final Countdown,1980,"A modern aircraft carrier is thrown back in time to 1941 near Hawaii, just hours before the Japanese attack on Pearl Harbor."
Xanadu,1980,A struggling artist living in Los Angeles meets a girl who may hold the key to his happiness.
Urban Cowboy,1980,Bud is a young man from the country who learns about life and love in a Houston bar.
Altered States,1980,A psycho-physiologist experiments with drugs and a sensory-deprivation tank and has visions he believes are genetic memories.
Little Darlings,1980,Two fifteen year-old girls from different sides of the tracks compete to see who will be the first to lose their virginity while at a summer camp.
Raise the Titanic,1980,"Once they said God himself couldn't sink her. Then they said no man on Earth could reach her. But an underwater research agency, headed by Admiral James Sandecker, is assigned the job of finding the doomed ship in her North Atlant..."
Brubaker,1980,The new warden of a small prison farm in Arkansas tries to clean it up of corruption after initially posing as an inmate.
American Gigolo,1980,A Los Angeles escort is accused of a murder which he did not commit.
My Bodyguard,1980,"When a boy comes to a new school and gets harassed by a bully, he acquires the services of the school's most feared kid as a bodyguard."
Prom Night,2008,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends."
Smokey and the Bandit II,1980,"The Bandit goes on another cross-country run, transporting an elephant from Florida to Texas. And, once again, Sheriff Buford T. Justice is on his tail."
Cattle Annie and Little Britches,1980,"In 19th-century Oklahoma, two teen girls who love stories about outlaws are on a quest to meet and join up with them. They find a shadow of a former gang and, although disappointed, still try to help them escape from a vigorous Ma..."
Seems Like Old Times,1980,"Wrongfully accused of a bank robbery, a writer seeks the help of his ex-wife, who is now married to the soon-to-be Attorney General of California."
Private Benjamin,1980,A sheltered young high-society woman joins the United States Army on a whim and finds herself in a trickier situation than she ever expected.
The Hollywood Knights,1980,"Led by their comedic leader, Turk, the Hollywood Knights car club raise hell throughout Beverly Hills on Halloween Night, 1965."
Motel Hell,1980,"A seemingly friendly farmer and his sister kidnap unsuspecting travelers and bury them alive, using them to create the ""special meat"" they are famous for."
The Jazz Singer,1927,The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.
